year,county_name,state,county,population,median_income,poverty_rate,hs_grad,some_college,associate,bachelor_plus,pct_white,pct_black,pct_hispanic
2008,Cache,49,005,112616,49256,0.11984387876153477,12108,4404,474,2159,,,
2008,Davis,49,011,295332,66923,0.05842182795074151,37555,12491,2687,897,0.868632589763385,0.01096393211707502,0.07618544553248548
2008,Salt Lake,49,035,1022651,59250,0.08516295602184082,119446,45213,12004,7771,0.754087171478833,0.0140878950883537,0.16327368769990935
2008,Utah,49,049,530837,59886,0.12198710384030975,63288,18032,3276,3932,0.8561535838684945,0.005024141120532292,0.09601629125324723
2008,Washington,49,053,137589,50333,0.0787557860198043,14653,4638,1699,596,,,
2008,Weber,49,057,227487,51064,0.1049551237442678,19826,6880,1607,1254,0.7927881593233899,0.014216196969497158,0.15929701477447064
2009,Cache,49,005,115269,45643,0.18560284511799555,13131,4171,754,1614,,,
2009,Davis,49,011,300827,66098,0.06619381371251168,39465,13549,2949,2177,0.8654076927935325,0.01310720114883305,0.07829416907391956
2009,Salt Lake,49,035,1034989,57006,0.1029585161918461,126453,43592,11329,7523,0.748371238728141,0.015311273839625349,0.16609838365431903
2009,Utah,49,049,545307,57732,0.14165384938057551,55412,19059,4365,4439,0.8501853084592715,0.004562567507844205,0.09859400301114785
2009,Washington,49,053,137473,46462,0.1474714350837463,12735,4011,931,815,0.8713492831319605,0.00510645726797262,0.08287445534759552
2009,Weber,49,057,231834,53058,0.12511575894183222,20334,6075,941,419,0.7874384257701631,0.014411173512081921,0.16200384758059647
2010,Cache,49,005,113417,46956,0.1665560471976401,12815,4207,551,1479,0.8547924914254477,0.0051932250015429785,0.10014371743213099
2010,Davis,49,011,307856,64360,0.07782397759726771,42190,13091,3235,1586,0.8571020217244426,0.012025102645392652,0.08467270412140741
2010,Salt Lake,49,035,1033910,56711,0.13493404248837157,120265,40683,11014,8475,0.7397026820516293,0.01459314640539312,0.1717296476482479
2010,Utah,49,049,520049,54275,0.14635694363684745,65044,18418,3902,3470,0.8402535145726653,0.005118748425629123,0.1086916809762157
2010,Washington,49,053,138451,49058,0.142526661913838,14599,5594,1461,1077,,,
2010,Weber,49,057,232228,53569,0.13890385484375542,23274,7304,1709,1350,0.7810599927657302,0.012242279139466386,0.1680848132008199
2011,Cache,49,005,114699,46174,0.17646260963920787,15292,4459,878,1825,0.849423273088693,0.0075676335451921985,0.10015780434005528
2011,Davis,49,011,311811,69021,0.07939728921871779,39891,14706,3867,1903,0.8548030698083133,0.010249798756297886,0.08594629438987078
2011,Salt Lake,49,035,1048985,56171,0.14375106369811086,130677,43471,12660,7463,0.7343050663260199,0.014142242262758762,0.1744438671668327
2011,Utah,49,049,530499,58607,0.14119859578736207,62552,18544,3345,5575,0.8351608579846522,0.006827534076407307,0.11021698438639847
2011,Washington,49,053,141666,45854,0.15612460212438753,15189,5295,1079,943,,,
2011,Weber,49,057,234420,51798,0.13025870406189555,21962,6985,1115,663,0.776606091630407,0.011854790546881665,0.1708301339476154
2012,Washington,49,053,144809,43837,0.16288455037187288,13449,5922,1231,884,0.8529580343763163,0.005635008873757847,0.09930322010372283
